ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_long_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
  seed reactive fitness=   221.0 cityPop=  216 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0, 205.0, 225.0] +
it  130 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  127 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  128 [cross]   fit=     7.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  131 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  133 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  132 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  134 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  135 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  136 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  137 [cross]   fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  141 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  138 [cross]   fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  140 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  139 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  142 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  143 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  145 [mutat]   fit=     1.8 pop=    0 m=(0.59,0.00,0.00) cell=(4, 0, 0) | filled=12 best_pop=420 best_fit=433
it  147 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  148 [mutat]   fit=     3.0 pop=    0 m=(0.00,0.00,0.25) cell=(0, 0, 2) | filled=12 best_pop=420 best_fit=433
it  144 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  146 [cross]   fit=     2.3 pop=    0 m=(0.02,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  149 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  150 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  152 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
