ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=res_ind archive=20x20 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_diverse_overnight_generations.jsonl
  seed reactive fitness=   282.4 cityPop=  276 cell=(19, 0) rolls=[326.4, 346.4, 246.4, 246.4, 246.4] +
  seed plan    fitness=   335.1 cityPop=  328 cell=(19, 0) rolls=[387.1, 367.1, 267.1, 367.1, 287.1] +
  seed industrial fitness=    71.1 cityPop=   64 cell=(0, 19) rolls=[167.1, 7.1, 7.1, 167.1, 7.1] +
  seed commercial fitness=     7.1 cityPop=    0 cell=(0, 0) rolls=[7.1, 7.1, 7.1, 7.1, 7.1] +
  seed mixed   fitness=   219.1 cityPop=  212 cell=(7, 6) rolls=[7.1, 167.1, 327.1, 347.1, 247.1] +
  seed res_ind fitness=   263.1 cityPop=  256 cell=(10, 10) rolls=[247.1, 207.1, 327.1, 287.1, 247.1] +
  seed res_heavy fitness=   247.1 cityPop=  240 cell=(15, 5) rolls=[287.1, 167.1, 187.1, 327.1, 267.1] +
  seed twin    fitness=   171.2 cityPop=  160 cell=(10, 9) rolls=[411.2, 411.2, 11.2, 11.2, 11.2] +
it  106 [mutat] + fit=    11.3 pop=    0 m=(0.33,0.17) cell=(6, 3) | filled=30 best_pop=4460 best_fit=4516
it  107 [mutat] + fit=     3.0 pop=    0 m=(0.56,0.22) cell=(11, 4) | filled=31 best_pop=4460 best_fit=4516
it  108 [mutat] + fit=   791.7 pop=  772 m=(0.42,0.21) cell=(8, 4) | filled=31 best_pop=4460 best_fit=4516
it  109 [cross]   fit=    14.0 pop=    0 m=(0.45,0.27) cell=(9, 5) | filled=31 best_pop=4460 best_fit=4516
it  110 [cross] + fit=   915.7 pop=  896 m=(0.48,0.26) cell=(9, 5) | filled=31 best_pop=4460 best_fit=4516
it  111 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=31 best_pop=4460 best_fit=4516
it  112 [mutat]   fit=     2.0 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=31 best_pop=4460 best_fit=4516
it  113 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=31 best_pop=4460 best_fit=4516
it  114 [mutat] + fit=   779.4 pop=  760 m=(0.50,0.14) cell=(10, 2) | filled=32 best_pop=4460 best_fit=4516
it  115 [cross] + fit=  1972.5 pop= 1956 m=(0.44,0.18) cell=(8, 3) | filled=32 best_pop=4460 best_fit=4516
it  116 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=32 best_pop=4460 best_fit=4516
it  117 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=32 best_pop=4460 best_fit=4516
it  118 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00) cell=(19, 0) | filled=32 best_pop=4460 best_fit=4516
it  119 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=32 best_pop=4460 best_fit=4516
it  120 [mutat] + fit=     7.4 pop=    0 m=(0.42,0.33) cell=(8, 6) | filled=33 best_pop=4460 best_fit=4516
it  121 [cross]   fit=  1183.8 pop= 1164 m=(0.50,0.24) cell=(10, 4) | filled=33 best_pop=4460 best_fit=4516
it  122 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=33 best_pop=4460 best_fit=4516
it  123 [mutat]   fit=     4.7 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=33 best_pop=4460 best_fit=4516
it  124 [mutat]   fit=     3.0 pop=    0 m=(0.44,0.22) cell=(8, 4) | filled=33 best_pop=4460 best_fit=4516
it  125 [mutat] + fit=  1204.5 pop= 1188 m=(0.44,0.24) cell=(8, 4) | filled=33 best_pop=4460 best_fit=4516
it  126 [cross]   fit=   528.0 pop=  512 m=(0.50,0.18) cell=(10, 3) | filled=33 best_pop=4460 best_fit=4516
it  127 [cross] + fit=     2.6 pop=    0 m=(0.50,0.25) cell=(10, 5) | filled=34 best_pop=4460 best_fit=4516
it  128 [mutat]   fit=     3.9 pop=    0 m=(0.38,0.25) cell=(7, 5) | filled=34 best_pop=4460 best_fit=4516
it  129 [cross]   fit=  1478.5 pop= 1460 m=(0.50,0.18) cell=(10, 3) | filled=34 best_pop=4460 best_fit=4516
it  130 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=34 best_pop=4460 best_fit=4516
it  131 [mutat]   fit=     4.6 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=34 best_pop=4460 best_fit=4516
it  132 [mutat] + fit=   743.7 pop=  724 m=(0.37,0.37) cell=(7, 7) | filled=35 best_pop=4460 best_fit=4516
it  133 [cross] + fit=   583.7 pop=  564 m=(0.43,0.25) cell=(8, 5) | filled=35 best_pop=4460 best_fit=4516
it  134 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  135 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  136 [cross] + fit=  1489.7 pop= 1468 m=(0.50,0.27) cell=(10, 5) | filled=35 best_pop=4460 best_fit=4516
it  137 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  138 [mutat]   fit=     4.4 pop=    0 m=(0.31,0.31) cell=(6, 6) | filled=35 best_pop=4460 best_fit=4516
it  139 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  140 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  141 [cross]   fit=  2044.5 pop= 2028 m=(0.38,0.24) cell=(7, 4) | filled=35 best_pop=4460 best_fit=4516
it  142 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  143 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  144 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  145 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  146 [cross]   fit=     6.9 pop=    0 m=(0.50,0.25) cell=(10, 5) | filled=35 best_pop=4460 best_fit=4516
it  147 [mutat]   fit=    40.6 pop=   32 m=(0.25,0.25) cell=(5, 5) | filled=35 best_pop=4460 best_fit=4516
it  148 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  149 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  150 [mutat]   fit=     4.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  151 [mutat] + fit=   811.9 pop=  788 m=(0.35,0.29) cell=(7, 5) | filled=35 best_pop=4460 best_fit=4516
it  152 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  153 [cross] + fit=  2109.2 pop= 2080 m=(0.61,0.21) cell=(12, 4) | filled=35 best_pop=4460 best_fit=4516
it  154 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=35 best_pop=4460 best_fit=4516
it  155 [mutat]   fit=   517.3 pop=  500 m=(0.44,0.25) cell=(8, 4) | filled=35 best_pop=4460 best_fit=4516
it  156 [mutat] + fit=   727.7 pop=  708 m=(0.42,0.26) cell=(8, 5) | filled=35 best_pop=4460 best_fit=4516
it  157 [mutat]   fit=   314.1 pop=  292 m=(0.38,0.25) cell=(7, 4) | filled=35 best_pop=4460 best_fit=4516
